"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed"
"0600000US2502726430","Grafton town, Worcester County, Massachusetts","1650","189","35","33","154","81","302","124","212","102","212","125","166","67","95","50","97","74","225","83","152","78"
"0600000US2502728740","Hardwick town, Worcester County, Massachusetts","393","92","19","17","0","12","19","17","23","19","50","46","8","10","41","45","47","43","126","67","60","54"
"0600000US2502728950","Harvard town, Worcester County, Massachusetts","89","37","0","17","17","19","17","20","0","17","32","31","0","17","0","17","16","15","7","11","0","17"
"0600000US2502730560","Holden town, Worcester County, Massachusetts","782","132","36","46","46","36","136","61","46","44","118","48","83","44","44","47","96","63","90","55","87","44"
"0600000US2502730945","Hopedale town, Worcester County, Massachusetts","345","102","13","21","81","74","35","40","0","17","51","55","25","29","23","28","13","20","66","49","38","45"
"0600000US2502731435","Hubbardston town, Worcester County, Massachusetts","222","88","0","12","46","33","0","12","26","28","59","51","10","15","11","16","9","14","51","59","10","16"
"0600000US2502734165","Lancaster town, Worcester County, Massachusetts","580","204","45","72","93","100","24","39","44","44","43","58","28","36","31","26","160","143","0","17","112","96"
"0600000US2502734795","Leicester town, Worcester County, Massachusetts","932","200","96","55","113","69","173","91","57","52","150","100","30","35","49","56","39","36","78","49","147","118"
"0600000US2502735075","Leominster city, Worcester County, Massachusetts","7108","445","211","104","796","235","1011","281","883","285","921","241","586","163","404","175","519","165","1426","286","351","173"
"0600000US2502737420","Lunenburg town, Worcester County, Massachusetts","700","174","27","32","77","78","92","54","139","101","44","26","0","19","122","104","20","26","110","77","69","59"
"0600000US2502740255","Mendon town, Worcester County, Massachusetts","221","99","0","17","31","25","86","80","26","32","36","41","0","17","10","17","0","17","21","26","11","18"
"0600000US2502741165","Milford town, Worcester County, Massachusetts","3422","346","103","65","306","113","529","171","346","133","421","168","199","100","159","120","316","129","863","201","180","112"
"0600000US2502741340","Millbury town, Worcester County, Massachusetts","1411","178","94","93","139","97","199","106","171","83","111","62","175","97","79","49","70","61","270","96","103","89"
